practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,stimFile,Valence,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,session,participant,date,expName,frameRate,
,,,,,,t,1.3627559809992817,,,001,,2018_Sep_10_1342,TBPMnBack,60.20578010539156,
,,,,,,,,t,0.4188714140000229,001,,2018_Sep_10_1342,TBPMnBack,60.20578010539156,
