Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,stimFile,Valence,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,session,participant,date,expName,frameRate,
,,,,,,t,1.5796633930003736,,,001,,2018_Sep_10_1338,TBPMnBack,60.297450943211906,
,,,,,,,,t,1.0324004180001793,001,,2018_Sep_10_1338,TBPMnBack,60.297450943211906,
