practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,stimFile,Valence,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,session,participant,date,expName,frameRate,
,,,,,,t,1.765907076998701,,,001,,2018_Sep_10_1519,TBPMnBack,60.103170458211885,
,,,,,,,,t,0.535534913000447,001,,2018_Sep_10_1519,TBPMnBack,60.103170458211885,
