stimFile,Valence,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,session,participant,date,expName,frameRate,
,,,,,,t,0.4455934799989336,,,001,,2018_Sep_10_1137,TBPMnBack,60.31191319185724,
,,,,,,,,t,0.6703225580004073,001,,2018_Sep_10_1137,TBPMnBack,60.31191319185724,
stims/003.i.jpg,Practice,0,0,0,2,,,,,001,,2018_Sep_10_1137,TBPMnBack,60.31191319185724,
stims/019.i.jpg,Practice,0,1,1,18,,,,,001,,2018_Sep_10_1137,TBPMnBack,60.31191319185724,
stims/007.i.jpg,Practice,0,2,2,6,,,,,001,,2018_Sep_10_1137,TBPMnBack,60.31191319185724,
