Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,stimFile,Valence,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,session,participant,date,expName,frameRate,
,,,,,,t,7.6373423430013645,,,001,,2018_Sep_10_1135,TBPMnBack,60.12422108936993,
,,,,,,,,t,0.48547524900095596,001,,2018_Sep_10_1135,TBPMnBack,60.12422108936993,
